purchase_detail_id,quantity,unit_cost,purchase_id,ingredient_id
PD00665,8,124.79,PO0066,ing0041
PD00666,21,182.72,PO0067,ing0042
PD00667,17,60.14,PO0068,ing0043
PD00668,11,262.28,PO0069,ing0044
PD00669,8,93.51,PO0070,ing0045
PD00670,20,235.08,PO0071,ing0046
PD00671,3,285.78,PO0072,ing0047
PD00672,27,40.41,PO0073,ing0048
PD00673,21,294.64,PO0074,ing0049
PD00674,21,260.77,PO0075,ing0050
PD00675,8,37.92,PO0076,ing0051
PD00676,29,181.97,PO0077,ing0052
PD00677,21,185.16,PO0078,ing0053
PD00678,28,243.42,PO0079,ing0054
PD00679,10,62.79,PO0080,ing0055
PD00680,28,293.51,PO0081,ing0056
PD00681,1,70.58,PO0082,ing0057
PD00682,10,87.16,PO0083,ing0058
PD00683,8,163.09,PO0084,ing0059
PD00684,7,213.02,PO0085,ing0060
PD00685,23,272.14,PO0086,ing0061
PD00686,23,194.54,PO0087,ing0062
PD00687,23,82.26,PO0088,ing0063
PD00688,25,80.34,PO0089,ing0064
PD00689,27,218.03,PO0090,ing0065
PD00690,1,100.28,PO0091,ing0066
PD00691,8,170.75,PO0092,ing0067
PD00692,16,63.33,PO0093,ing0068
PD00693,14,153.18,PO0094,ing0069
PD00694,8,248.1,PO0095,ing0070
PD00695,8,264.26,PO0096,ing0071
PD00696,21,25.98,PO0097,ing0072
PD00697,15,240.9,PO0098,ing0073
PD00698,19,96.1,PO0099,ing0074
PD00699,22,190.9,PO0100,ing0075
PD00700,27,127.55,PO0001,ing0076
PD00701,16,208.95,PO0002,ing0077
PD00702,24,126.7,PO0003,ing0078
PD00703,19,85.27,PO0004,ing0079
PD00704,12,246.23,PO0005,ing0080
PD00705,13,46.02,PO0006,ing0081
PD00706,28,291.65,PO0007,ing0082
PD00707,20,73.28,PO0008,ing0083
PD00708,11,256.59,PO0009,ing0084
PD00709,22,189.22,PO0010,ing0085
PD00710,10,213.21,PO0011,ing0086
PD00711,25,259.34,PO0012,ing0087
PD00712,1,222.87,PO0013,ing0088
PD00713,10,235.37,PO0014,ing0089
PD00714,19,146.18,PO0015,ing0090
PD00715,11,91.68,PO0016,ing0091
PD00716,14,107.06,PO0017,ing0092
PD00717,2,110.98,PO0018,ing0093
PD00718,5,293.06,PO0019,ing0094
PD00719,8,205.36,PO0020,ing0095
PD00720,12,133.87,PO0021,ing0096
PD00721,20,166.32,PO0022,ing0097
PD00722,5,287.64,PO0023,ing0098
PD00723,14,270.16,PO0024,ing0099
PD00724,15,240,PO0025,ing0100
PD00725,5,89.6,PO0026,ing0101
PD00726,17,66.63,PO0027,ing0102
PD00727,14,226.34,PO0028,ing0103
PD00728,2,286.64,PO0029,ing0104
PD00729,30,252.35,PO0030,ing0105
PD00730,2,211.45,PO0031,ing0106
PD00731,14,58.84,PO0032,ing0107
PD00732,3,68.89,PO0033,ing0108
PD00733,4,230.69,PO0034,ing0109
PD00734,7,169.86,PO0035,ing0110
PD00735,24,126.09,PO0036,ing0111
PD00736,2,263.06,PO0037,ing0112
PD00737,5,121.95,PO0038,ing0113
PD00738,3,83.65,PO0039,ing0114
PD00739,17,33.58,PO0040,ing0115
PD00740,15,66.3,PO0041,ing0116
PD00741,24,223.63,PO0042,ing0117
PD00742,25,274.08,PO0043,ing0118
PD00743,8,195.03,PO0044,ing0119
PD00744,7,75.52,PO0045,ing0120
PD00745,28,266.36,PO0046,ing0121
PD00746,30,161.94,PO0047,ing0122
PD00747,29,248.83,PO0048,ing0123
PD00748,19,266.18,PO0049,ing0124
PD00749,29,178.3,PO0050,ing0125
PD00750,20,244.62,PO0051,ing0001
PD00751,21,298.48,PO0052,ing0002
PD00752,19,121.2,PO0053,ing0003
PD00753,21,89.86,PO0054,ing0004
PD00754,17,290.12,PO0055,ing0005
PD00755,17,120.39,PO0056,ing0006
PD00756,4,183.9,PO0057,ing0007
PD00757,11,220.37,PO0058,ing0008
PD00758,22,196.23,PO0059,ing0009
PD00759,12,44.14,PO0060,ing0010
PD00760,10,206.19,PO0061,ing0011
PD00761,11,66.02,PO0062,ing0012
PD00762,15,117.8,PO0063,ing0013
PD00763,7,69.3,PO0064,ing0014
PD00764,28,288.83,PO0065,ing0015
PD00765,18,116,PO0066,ing0016
PD00766,22,44.37,PO0067,ing0017
PD00767,4,179.44,PO0068,ing0018
PD00768,25,67.13,PO0069,ing0019
PD00769,20,219.06,PO0070,ing0020
PD00770,7,23.8,PO0071,ing0021
PD00771,4,49.13,PO0072,ing0022
PD00772,8,46.36,PO0073,ing0023
PD00773,29,83.23,PO0074,ing0024
PD00774,8,112.58,PO0075,ing0025
PD00775,14,78.43,PO0076,ing0026
PD00776,19,83.85,PO0077,ing0027
PD00777,25,37.98,PO0078,ing0028
PD00778,17,27.79,PO0079,ing0029
PD00779,30,154.74,PO0080,ing0030
PD00780,19,269.46,PO0081,ing0031
PD00781,19,182.66,PO0082,ing0032
PD00782,30,205.3,PO0083,ing0033
PD00783,10,207.66,PO0084,ing0034
PD00784,21,197.55,PO0085,ing0035
PD00785,8,34.69,PO0086,ing0036
PD00786,12,90.6,PO0087,ing0037
PD00787,11,296.02,PO0088,ing0038
PD00788,12,238.8,PO0089,ing0039
PD00789,6,115.83,PO0090,ing0040
PD00790,12,230.19,PO0091,ing0041
PD00791,15,22.57,PO0092,ing0042
PD00792,7,222.32,PO0093,ing0043
PD00793,27,236.34,PO0094,ing0044
PD00794,6,24.92,PO0095,ing0045
PD00795,14,93.09,PO0096,ing0046
PD00796,14,298.89,PO0097,ing0047
PD00797,4,290.78,PO0098,ing0048
PD00798,29,86.45,PO0099,ing0049
PD00799,7,131.49,PO0100,ing0050
PD00800,24,161.78,PO0001,ing0051
PD00801,15,20.82,PO0002,ing0052
PD00802,19,267.37,PO0003,ing0053
PD00803,10,45.01,PO0004,ing0054
PD00804,28,76.94,PO0005,ing0055
PD00805,24,285.21,PO0006,ing0056
PD00806,24,291.64,PO0007,ing0057
PD00807,6,200.6,PO0008,ing0058
PD00808,18,273.54,PO0009,ing0059
PD00809,24,298.52,PO0010,ing0060
PD00810,18,233.08,PO0011,ing0061
PD00811,18,232.27,PO0012,ing0062
PD00812,23,298.76,PO0013,ing0063
PD00813,12,64.27,PO0014,ing0064
PD00814,15,38.75,PO0015,ing0065
PD00815,13,158.88,PO0016,ing0066
PD00816,21,260.53,PO0017,ing0067
PD00817,18,63.07,PO0018,ing0068
PD00818,5,206.05,PO0019,ing0069
PD00819,29,272.64,PO0020,ing0070
PD00820,22,95.42,PO0021,ing0071
PD00821,5,33.43,PO0022,ing0072
PD00822,10,120.81,PO0023,ing0073
PD00823,20,168.43,PO0024,ing0074
PD00824,29,116.49,PO0025,ing0075
PD00825,1,271.23,PO0026,ing0076
PD00826,1,266.74,PO0027,ing0077
PD00827,28,46.28,PO0028,ing0078
PD00828,4,241.72,PO0029,ing0079
PD00829,8,72.31,PO0030,ing0080
PD00830,17,266.69,PO0031,ing0081
PD00831,15,136.01,PO0032,ing0082
PD00832,20,92.28,PO0033,ing0083
PD00833,20,104.43,PO0034,ing0084
PD00834,29,140.81,PO0035,ing0085
PD00835,3,291.03,PO0036,ing0086
PD00836,25,57.57,PO0037,ing0087
PD00837,30,212.04,PO0038,ing0088
PD00838,27,207.04,PO0039,ing0089
PD00839,13,106.6,PO0040,ing0090
PD00840,17,227.69,PO0041,ing0091
PD00841,20,157.42,PO0042,ing0092
PD00842,4,182.82,PO0043,ing0093
PD00843,16,174.23,PO0044,ing0094
PD00844,14,235.56,PO0045,ing0095
PD00845,9,226.22,PO0046,ing0096
PD00846,17,120.74,PO0047,ing0097
PD00847,26,128.34,PO0048,ing0098
PD00848,17,101.57,PO0049,ing0099
PD00849,21,84.03,PO0050,ing0100
PD00850,2,238.15,PO0051,ing0101
PD00851,29,208.17,PO0052,ing0102
PD00852,1,198.51,PO0053,ing0103
PD00853,15,131.2,PO0054,ing0104
PD00854,25,111.99,PO0055,ing0105
PD00855,20,104.82,PO0056,ing0106
PD00856,24,127.35,PO0057,ing0107
PD00857,23,226.15,PO0058,ing0108
PD00858,30,143.11,PO0059,ing0109
PD00859,27,73.66,PO0060,ing0110
PD00860,18,77.32,PO0061,ing0111
PD00861,15,52.97,PO0062,ing0112
PD00862,21,296.73,PO0063,ing0113
PD00863,23,194.31,PO0064,ing0114
PD00864,27,82.63,PO0065,ing0115
PD00865,14,53.3,PO0066,ing0116
PD00866,29,250.89,PO0067,ing0117
PD00867,12,52.77,PO0068,ing0118
PD00868,20,150.92,PO0069,ing0119
PD00869,30,162.2,PO0070,ing0120
PD00870,5,236.91,PO0071,ing0121
PD00871,13,250.06,PO0072,ing0122
PD00872,11,74.67,PO0073,ing0123
PD00873,24,267.67,PO0074,ing0124
PD00874,7,193.83,PO0075,ing0125
PD00875,9,225.16,PO0076,ing0001
PD00876,3,187.17,PO0077,ing0002
PD00877,20,119.1,PO0078,ing0003
PD00878,28,145.35,PO0079,ing0004
PD00879,16,22.64,PO0080,ing0005
PD00880,15,280.02,PO0081,ing0006
PD00881,3,255.35,PO0082,ing0007
PD00882,1,297.18,PO0083,ing0008
PD00883,15,270.52,PO0084,ing0009
PD00884,14,188.42,PO0085,ing0010
PD00885,24,208.9,PO0086,ing0011
PD00886,17,71.28,PO0087,ing0012
PD00887,2,148.27,PO0088,ing0013
PD00888,23,62.55,PO0089,ing0014
PD00889,23,236.43,PO0090,ing0015
PD00890,28,279.28,PO0091,ing0016
PD00891,8,244.2,PO0092,ing0017
PD00892,27,95.35,PO0093,ing0018
PD00893,11,198.4,PO0094,ing0019
PD00894,28,21.46,PO0095,ing0020
PD00895,1,31.01,PO0096,ing0021
PD00896,26,140.04,PO0097,ing0022
PD00897,18,143.58,PO0098,ing0023
PD00898,1,284.77,PO0099,ing0024
PD00899,16,40.49,PO0100,ing0025
PD00900,21,81.92,PO0001,ing0026
PD00901,23,293.04,PO0002,ing0027
PD00902,20,111.37,PO0003,ing0028
PD00903,3,170.61,PO0004,ing0029
PD00904,26,158.91,PO0005,ing0030
PD00905,14,117.76,PO0006,ing0031
PD00906,24,59.97,PO0007,ing0032
PD00907,15,118.37,PO0008,ing0033
PD00908,23,54,PO0009,ing0034
PD00909,3,216.81,PO0010,ing0035
PD00910,28,173.94,PO0011,ing0036
PD00911,14,190.62,PO0012,ing0037
PD00912,19,289.1,PO0013,ing0038
PD00913,24,169.97,PO0014,ing0039
PD00914,8,45.22,PO0015,ing0040
PD00915,9,226.02,PO0016,ing0041
PD00916,29,153.22,PO0017,ing0042
PD00917,12,110.31,PO0018,ing0043
PD00918,3,188.27,PO0019,ing0044
PD00919,30,217.69,PO0020,ing0045
PD00920,29,193.31,PO0021,ing0046
PD00921,29,226.99,PO0022,ing0047
PD00922,5,262.57,PO0023,ing0048
PD00923,11,107.96,PO0024,ing0049
PD00924,29,112.34,PO0025,ing0050
PD00925,15,28.41,PO0026,ing0051
PD00926,15,174.89,PO0027,ing0052
PD00927,17,268.42,PO0028,ing0053
PD00928,13,267.18,PO0029,ing0054
PD00929,1,93.74,PO0030,ing0055
PD00930,15,285.36,PO0031,ing0056
PD00931,5,283.61,PO0032,ing0057
PD00932,11,93.87,PO0033,ing0058
PD00933,14,286.32,PO0034,ing0059
PD00934,23,193.18,PO0035,ing0060
PD00935,7,217.93,PO0036,ing0061
PD00936,25,273.82,PO0037,ing0062
PD00937,13,111.5,PO0038,ing0063
PD00938,13,42.18,PO0039,ing0064
PD00939,12,215.24,PO0040,ing0065
PD00940,16,105.67,PO0041,ing0066
PD00941,10,79.59,PO0042,ing0067
PD00942,18,63.34,PO0043,ing0068
PD00943,1,268.89,PO0044,ing0069
PD00944,20,101.44,PO0045,ing0070
PD00945,25,162.17,PO0046,ing0071
PD00946,26,102.82,PO0047,ing0072
PD00947,1,27.43,PO0048,ing0073
PD00948,18,242.77,PO0049,ing0074
PD00949,23,146.15,PO0050,ing0075
PD00950,30,175.82,PO0051,ing0076
PD00951,2,171.56,PO0052,ing0077
PD00952,1,76.6,PO0053,ing0078
PD00953,14,295.77,PO0054,ing0079
PD00954,18,79.87,PO0055,ing0080
PD00955,4,53.97,PO0056,ing0081
PD00956,8,144.59,PO0057,ing0082
PD00957,4,163.59,PO0058,ing0083
PD00958,20,233.73,PO0059,ing0084
PD00959,1,149.83,PO0060,ing0085
PD00960,17,228.95,PO0061,ing0086
PD00961,22,193.51,PO0062,ing0087
PD00962,14,171.93,PO0063,ing0088
PD00963,12,252.81,PO0064,ing0089
PD00964,16,136.42,PO0065,ing0090
PD00965,26,35.64,PO0066,ing0091
PD00966,12,25.19,PO0067,ing0092
PD00967,14,107.9,PO0068,ing0093
PD00968,2,67.34,PO0069,ing0094
PD00969,3,167.58,PO0070,ing0095
PD00970,28,238.5,PO0071,ing0096
PD00971,15,252.06,PO0072,ing0097
PD00972,9,181.38,PO0073,ing0098
PD00973,13,248.2,PO0074,ing0099
PD00974,15,178.61,PO0075,ing0100
PD00975,20,35.12,PO0076,ing0101
PD00976,25,271.62,PO0077,ing0102
PD00977,24,211.78,PO0078,ing0103
PD00978,14,39.73,PO0079,ing0104
PD00979,1,274.02,PO0080,ing0105
PD00980,22,93.14,PO0081,ing0106
PD00981,10,135.96,PO0082,ing0107
PD00982,2,147.73,PO0083,ing0108
PD00983,14,65.64,PO0084,ing0109
PD00984,21,200.47,PO0085,ing0110
PD00985,17,61.03,PO0086,ing0111
PD00986,15,118.17,PO0087,ing0112
PD00987,5,158.54,PO0088,ing0113
PD00988,11,123.36,PO0089,ing0114
PD00989,15,179.17,PO0090,ing0115
PD00990,16,49.49,PO0091,ing0116
PD00991,12,45.39,PO0092,ing0117
PD00992,12,246.42,PO0093,ing0118
PD00993,12,61.25,PO0094,ing0119
PD00994,8,134.32,PO0095,ing0120
PD00995,15,173.65,PO0096,ing0121
PD00996,3,160.16,PO0097,ing0122
PD00997,23,62.91,PO0098,ing0123
PD00998,28,74.3,PO0099,ing0124
PD00999,7,173.82,PO0100,ing0125
PD01000,24,237.87,PO0001,ing0001
PD01001,7,289.7,PO0002,ing0002
PD01002,13,163.76,PO0003,ing0003
PD01003,18,199.25,PO0004,ing0004
PD01004,2,244.71,PO0005,ing0005
PD01005,28,151.71,PO0006,ing0006
PD01006,7,191.88,PO0007,ing0007
PD01007,3,153.5,PO0008,ing0008
PD01008,13,67.54,PO0009,ing0009
PD01009,5,120.94,PO0010,ing0010
PD01010,26,80.38,PO0011,ing0011
PD01011,6,200.57,PO0012,ing0012
PD01012,9,77.58,PO0013,ing0013
PD01013,28,29.48,PO0014,ing0014
PD01014,14,63.75,PO0015,ing0015
PD01015,12,75.85,PO0016,ing0016
PD01016,24,44.62,PO0017,ing0017
PD01017,18,286.59,PO0018,ing0018
PD01018,30,183.16,PO0019,ing0019
PD01019,1,35.81,PO0020,ing0020
PD01020,20,124.3,PO0021,ing0021
PD01021,22,25.92,PO0022,ing0022
PD01022,12,36.53,PO0023,ing0023
PD01023,27,233.37,PO0024,ing0024
PD01024,11,118.04,PO0025,ing0025
PD01025,14,179.67,PO0026,ing0026
PD01026,24,238.3,PO0027,ing0027
PD01027,28,175.66,PO0028,ing0028
PD01028,4,189.69,PO0029,ing0029
PD01029,25,78.42,PO0030,ing0030
PD01030,3,198.95,PO0031,ing0031
PD01031,29,264.58,PO0032,ing0032
PD01032,17,258.54,PO0033,ing0033
PD01033,15,137.85,PO0034,ing0034
PD01034,23,83.83,PO0035,ing0035
PD01035,10,271.94,PO0036,ing0036
PD01036,28,163.36,PO0037,ing0037
PD01037,28,31.47,PO0038,ing0038
PD01038,10,27.46,PO0039,ing0039
PD01039,26,271.23,PO0040,ing0040
PD01040,16,201.04,PO0041,ing0041
PD01041,15,154.75,PO0042,ing0042
PD01042,6,230.71,PO0043,ing0043
PD01043,6,39.02,PO0044,ing0044
PD01044,12,230.43,PO0045,ing0045
PD01045,21,103.19,PO0046,ing0046
PD01046,12,34.36,PO0047,ing0047
PD01047,14,291.48,PO0048,ing0048
PD01048,1,89.23,PO0049,ing0049
PD01049,23,45.99,PO0050,ing0050
PD01050,2,282.1,PO0051,ing0051
PD01051,16,52.77,PO0052,ing0052
PD01052,25,166.64,PO0053,ing0053
PD01053,22,36.68,PO0054,ing0054
PD01054,24,121.63,PO0055,ing0055
PD01055,17,196.28,PO0056,ing0056
PD01056,6,136.05,PO0057,ing0057
PD01057,2,116.73,PO0058,ing0058
PD01058,11,24.23,PO0059,ing0059
PD01059,28,283.67,PO0060,ing0060
PD01060,1,232.81,PO0061,ing0061
PD01061,16,25.62,PO0062,ing0062
PD01062,10,150.94,PO0063,ing0063
PD01063,1,168.6,PO0064,ing0064
PD01064,28,87.77,PO0065,ing0065
PD01065,21,101.67,PO0066,ing0066
PD01066,11,191.36,PO0067,ing0067
PD01067,10,226.89,PO0068,ing0068
PD01068,30,272.13,PO0069,ing0069
PD01069,10,142.12,PO0070,ing0070
PD01070,7,219.92,PO0071,ing0071
PD01071,28,207.18,PO0072,ing0072
PD01072,26,25.78,PO0073,ing0073
PD01073,29,294.74,PO0074,ing0074
PD01074,11,273.91,PO0075,ing0075
PD01075,17,32.5,PO0076,ing0076
PD01076,8,206.81,PO0077,ing0077
PD01077,26,47.55,PO0078,ing0078
PD01078,2,242.89,PO0079,ing0079
PD01079,30,35.96,PO0080,ing0080
PD01080,16,196.36,PO0081,ing0081
PD01081,22,266.36,PO0082,ing0082
PD01082,21,63.86,PO0083,ing0083
PD01083,12,231.95,PO0084,ing0084
PD01084,16,228.04,PO0085,ing0085
PD01085,11,111.63,PO0086,ing0086
PD01086,20,204.9,PO0087,ing0087
PD01087,23,236.26,PO0088,ing0088
PD01088,27,288.6,PO0089,ing0089
PD01089,4,258.26,PO0090,ing0090
PD01090,18,76.82,PO0091,ing0091
PD01091,29,180.59,PO0092,ing0092
PD01092,23,292.25,PO0093,ing0093
PD01093,15,59.93,PO0094,ing0094
PD01094,2,113.29,PO0095,ing0095
PD01095,5,126.24,PO0096,ing0096
PD01096,1,295.15,PO0097,ing0097
PD01097,30,90.66,PO0098,ing0098
PD01098,24,205.68,PO0099,ing0099
PD01099,28,298.86,PO0100,ing0100
PD01100,16,60.62,PO0001,ing0101
PD01101,3,277.44,PO0002,ing0102
PD01102,14,111.55,PO0003,ing0103
PD01103,18,160.78,PO0004,ing0104
PD01104,18,140.36,PO0005,ing0105
PD01105,18,123.32,PO0006,ing0106
PD01106,23,264.22,PO0007,ing0107
PD01107,25,205.76,PO0008,ing0108
PD01108,21,282.43,PO0009,ing0109
PD01109,11,20.27,PO0010,ing0110
PD01110,17,47.48,PO0011,ing0111
PD01111,16,142.93,PO0012,ing0112
PD01112,27,114.26,PO0013,ing0113
PD01113,23,48.66,PO0014,ing0114
PD01114,1,128.73,PO0015,ing0115
PD01115,6,105.69,PO0016,ing0116
PD01116,6,128.14,PO0017,ing0117
PD01117,4,21.55,PO0018,ing0118
PD01118,25,244.23,PO0019,ing0119
PD01119,24,62.51,PO0020,ing0120
PD01120,2,116.86,PO0021,ing0121
PD01121,9,156.51,PO0022,ing0122
PD01122,20,144.68,PO0023,ing0123
PD01123,14,155.76,PO0024,ing0124
PD01124,4,72.27,PO0025,ing0125
PD01125,20,93.34,PO0026,ing0001
PD01126,5,228.41,PO0027,ing0002
PD01127,13,171.56,PO0028,ing0003
PD01128,11,289.82,PO0029,ing0004
PD01129,19,159.54,PO0030,ing0005
PD01130,30,236.72,PO0031,ing0006
PD01131,18,133.44,PO0032,ing0007
PD01132,10,63.63,PO0033,ing0008
PD01133,6,131.19,PO0034,ing0009
PD01134,9,173.23,PO0035,ing0010
PD01135,26,144.84,PO0036,ing0011
PD01136,19,196.45,PO0037,ing0012
PD01137,3,141.49,PO0038,ing0013
PD01138,14,22.05,PO0039,ing0014
PD01139,26,299.52,PO0040,ing0015
PD01140,16,88.33,PO0041,ing0016
PD01141,17,187.16,PO0042,ing0017
PD01142,19,220.36,PO0043,ing0018
PD01143,11,198.21,PO0044,ing0019
PD01144,5,48.31,PO0045,ing0020
PD01145,14,219.65,PO0046,ing0021
PD01146,27,274.65,PO0047,ing0022
PD01147,13,216.49,PO0048,ing0023
PD01148,9,209.03,PO0049,ing0024
PD01149,20,123.01,PO0050,ing0025
PD01150,20,180.34,PO0051,ing0026
PD01151,19,114.73,PO0052,ing0027
PD01152,10,166,PO0053,ing0028
PD01153,13,218.34,PO0054,ing0029
PD01154,26,201.03,PO0055,ing0030
PD01155,3,246.19,PO0056,ing0031
PD01156,16,141.14,PO0057,ing0032
PD01157,8,178.56,PO0058,ing0033
PD01158,26,140.22,PO0059,ing0034
PD01159,6,42.71,PO0060,ing0035
PD01160,22,183.65,PO0061,ing0036
PD01161,6,90.03,PO0062,ing0037
PD01162,18,236.33,PO0063,ing0038
PD01163,22,232.1,PO0064,ing0039
PD01164,17,254.77,PO0065,ing0040
PD01165,7,22.39,PO0066,ing0041
PD01166,20,182.28,PO0067,ing0042
PD01167,4,67.93,PO0068,ing0043
PD01168,28,208.9,PO0069,ing0044
PD01169,22,87.86,PO0070,ing0045
PD01170,7,24.13,PO0071,ing0046
PD01171,8,230.92,PO0072,ing0047
PD01172,16,254.09,PO0073,ing0048
PD01173,25,108.83,PO0074,ing0049
PD01174,3,185.93,PO0075,ing0050
PD01175,14,45.13,PO0076,ing0051
PD01176,5,99.48,PO0077,ing0052
PD01177,21,285.31,PO0078,ing0053
PD01178,18,168.99,PO0079,ing0054
PD01179,9,39.67,PO0080,ing0055
PD01180,24,290.73,PO0081,ing0056
PD01181,27,233.95,PO0082,ing0057
PD01182,30,155.39,PO0083,ing0058
PD01183,22,129.58,PO0084,ing0059
PD01184,11,241.15,PO0085,ing0060
PD01185,19,259.9,PO0086,ing0061
PD01186,15,57.7,PO0087,ing0062
PD01187,4,196.45,PO0088,ing0063
PD01188,12,292.38,PO0089,ing0064
PD01189,8,261.39,PO0090,ing0065
PD01190,30,248.62,PO0091,ing0066
PD01191,6,220.1,PO0092,ing0067
PD01192,26,86.71,PO0093,ing0068
PD01193,19,214.3,PO0094,ing0069
PD01194,10,62.85,PO0095,ing0070
PD01195,5,39.34,PO0096,ing0071
PD01196,10,222.89,PO0097,ing0072
PD01197,9,260.12,PO0098,ing0073
PD01198,15,38.25,PO0099,ing0074
PD01199,7,244.84,PO0100,ing0075
PD01200,13,144.05,PO0001,ing0076
PD01201,29,66.53,PO0002,ing0077
PD01202,25,167.49,PO0003,ing0078
PD01203,20,188.89,PO0004,ing0079
PD01204,28,170.15,PO0005,ing0080
PD01205,6,108.93,PO0006,ing0081
PD01206,6,22.65,PO0007,ing0082
PD01207,6,124.58,PO0008,ing0083
PD01208,16,189.44,PO0009,ing0084
PD01209,6,268.68,PO0010,ing0085
PD01210,25,299.81,PO0011,ing0086
PD01211,4,237.93,PO0012,ing0087
PD01212,7,176.39,PO0013,ing0088
PD01213,6,44.02,PO0014,ing0089
PD01214,21,135.88,PO0015,ing0090
PD01215,24,93.74,PO0016,ing0091
PD01216,15,143.59,PO0017,ing0092
PD01217,12,276.67,PO0018,ing0093
PD01218,5,63.99,PO0019,ing0094
PD01219,12,156.34,PO0020,ing0095
PD01220,2,111.27,PO0021,ing0096
PD01221,27,235.88,PO0022,ing0097
PD01222,20,22.01,PO0023,ing0098
PD01223,28,125.86,PO0024,ing0099
PD01224,17,261.27,PO0025,ing0100
PD01225,18,64.11,PO0026,ing0101
PD01226,8,70.47,PO0027,ing0102
PD01227,29,49.84,PO0028,ing0103
PD01228,25,39.32,PO0029,ing0104
PD01229,11,126.99,PO0030,ing0105
PD01230,1,64.57,PO0031,ing0106
PD01231,20,96.8,PO0032,ing0107
PD01232,24,20.4,PO0033,ing0108
PD01233,10,190.86,PO0034,ing0109
PD01234,1,118.37,PO0035,ing0110
PD01235,13,234.99,PO0036,ing0111
PD01236,29,36.51,PO0037,ing0112
PD01237,9,196.3,PO0038,ing0113
PD01238,7,171.48,PO0039,ing0114
PD01239,11,38.44,PO0040,ing0115
PD01240,19,258.8,PO0041,ing0116
PD01241,11,168.39,PO0042,ing0117
PD01242,3,62.52,PO0043,ing0118
PD01243,13,76.04,PO0044,ing0119
PD01244,26,182.56,PO0045,ing0120
PD01245,18,193.59,PO0046,ing0121
PD01246,1,30.11,PO0047,ing0122
PD01247,1,281.94,PO0048,ing0123
PD01248,15,280.53,PO0049,ing0124
PD01249,24,54.39,PO0050,ing0125
PD01250,14,158.22,PO0051,ing0001
PD01251,25,232.47,PO0052,ing0002
PD01252,9,185.66,PO0053,ing0003
PD01253,28,283.9,PO0054,ing0004
PD01254,11,142.69,PO0055,ing0005
PD01255,7,178.2,PO0056,ing0006
PD01256,2,62.83,PO0057,ing0007
PD01257,20,213.68,PO0058,ing0008
PD01258,2,135.14,PO0059,ing0009
PD01259,6,113.34,PO0060,ing0010
PD01260,19,169.15,PO0061,ing0011
PD01261,20,59.42,PO0062,ing0012
PD01262,29,160.81,PO0063,ing0013
PD01263,7,101.55,PO0064,ing0014
PD01264,29,204.64,PO0065,ing0015
PD01265,10,160.96,PO0066,ing0016
PD01266,20,167.2,PO0067,ing0017
PD01267,29,92.14,PO0068,ing0018
PD01268,16,292.93,PO0069,ing0019
PD01269,28,87.98,PO0070,ing0020
PD01270,29,280.54,PO0071,ing0021
PD01271,10,94.91,PO0072,ing0022
PD01272,23,299.29,PO0073,ing0023
PD01273,16,87.38,PO0074,ing0024
PD01274,11,237.25,PO0075,ing0025
PD01275,2,253.81,PO0076,ing0026
PD01276,30,244.76,PO0077,ing0027
PD01277,28,64.66,PO0078,ing0028
PD01278,5,210.94,PO0079,ing0029
PD01279,4,81.71,PO0080,ing0030
PD01280,23,108.1,PO0081,ing0031
PD01281,24,254.08,PO0082,ing0032
PD01282,8,292.25,PO0083,ing0033
PD01283,30,187.68,PO0084,ing0034
PD01284,11,239.79,PO0085,ing0035
PD01285,8,63.8,PO0086,ing0036
PD01286,26,106.7,PO0087,ing0037
PD01287,17,292.38,PO0088,ing0038
PD01288,7,168.06,PO0089,ing0039
PD01289,27,114.42,PO0090,ing0040
PD01290,29,107.14,PO0091,ing0041
PD01291,23,89.19,PO0092,ing0042
PD01292,4,264.44,PO0093,ing0043
PD01293,12,64.73,PO0094,ing0044
PD01294,14,210.46,PO0095,ing0045
PD01295,4,190.04,PO0096,ing0046
PD01296,29,132.71,PO0097,ing0047
PD01297,2,244.22,PO0098,ing0048
PD01298,1,274.53,PO0099,ing0049
PD01299,14,196.41,PO0100,ing0050
PD01300,19,287.34,PO0001,ing0051
PD01301,24,149.5,PO0002,ing0052
PD01302,18,24.2,PO0003,ing0053
PD01303,22,23.31,PO0004,ing0054
PD01304,8,132.61,PO0005,ing0055
PD01305,13,96.6,PO0006,ing0056
PD01306,11,62.58,PO0007,ing0057
PD01307,4,299.07,PO0008,ing0058
PD01308,17,63.33,PO0009,ing0059
PD01309,1,65.57,PO0010,ing0060
PD01310,1,107.38,PO0011,ing0061
PD01311,12,269.33,PO0012,ing0062
PD01312,24,172.55,PO0013,ing0063
PD01313,5,34.45,PO0014,ing0064
PD01314,26,24.52,PO0015,ing0065
PD01315,7,97.17,PO0016,ing0066
PD01316,4,37.32,PO0017,ing0067
PD01317,22,254.63,PO0018,ing0068
PD01318,1,172.28,PO0019,ing0069
PD01319,25,259.12,PO0020,ing0070
PD01320,22,212.81,PO0021,ing0071
PD01321,25,194.91,PO0022,ing0072
PD01322,8,230.35,PO0023,ing0073
PD01323,16,204.87,PO0024,ing0074
PD01324,3,254.73,PO0025,ing0075
PD01325,18,58.29,PO0026,ing0076
PD01326,8,76.28,PO0027,ing0077
PD01327,19,38.64,PO0028,ing0078
PD01328,29,209.73,PO0029,ing0079
PD01329,6,39.55,PO0030,ing0080
