supplier_id,ingredient_id,supplier_price,lead_time_days,is_preferred
sup1009,ing0057,179.84,4,0
sup1002,ing0087,224.84,2,1
sup1012,ing0024,46.81,4,1
sup1007,ing0089,156.92,4,1
sup1011,ing0047,272.41,4,0
sup1002,ing0045,112.26,5,0
sup1007,ing0071,160.73,5,0
sup1015,ing0080,106.65,4,1
sup1009,ing0098,22.82,5,0
sup1014,ing0041,142.46,1,0
sup1004,ing0031,114.68,5,1
sup1006,ing0112,139.85,3,0
sup1006,ing0014,268.44,5,0
sup1015,ing0001,256.12,4,0
sup1004,ing0044,135.13,3,1
sup1012,ing0121,248.61,5,0
sup1012,ing0101,250.19,3,1
sup1015,ing0040,179.04,5,0
sup1005,ing0050,45.26,5,1
sup1009,ing0043,283.29,5,1
sup1014,ing0091,227.94,3,1
sup1006,ing0087,276.4,2,0
sup1010,ing0092,237.93,2,0
sup1007,ing0024,289.34,1,0
sup1002,ing0111,169.72,4,0
